===== perceiver-io-linstyle 학습 결과 =====

Epoch 1: Train Loss=6.8109, Test Loss=1.9793, Test Acc=0.2584
Epoch 2: Train Loss=1.9051, Test Loss=1.5883, Test Acc=0.3788
Epoch 3: Train Loss=1.5081, Test Loss=1.1501, Test Acc=0.5483
Epoch 4: Train Loss=0.9910, Test Loss=0.8592, Test Acc=0.6800
Epoch 5: Train Loss=0.8235, Test Loss=0.7841, Test Acc=0.7197
Epoch 6: Train Loss=0.7523, Test Loss=0.7261, Test Acc=0.7465
Epoch 7: Train Loss=0.6891, Test Loss=0.6458, Test Acc=0.7603
Epoch 8: Train Loss=0.6556, Test Loss=0.6458, Test Acc=0.7719
Epoch 9: Train Loss=0.6144, Test Loss=0.5922, Test Acc=0.7897
Epoch 10: Train Loss=0.5743, Test Loss=0.5606, Test Acc=0.8073
Epoch 11: Train Loss=0.5412, Test Loss=0.5317, Test Acc=0.8152
Epoch 12: Train Loss=0.5144, Test Loss=0.5313, Test Acc=0.8110
Epoch 13: Train Loss=0.4915, Test Loss=0.5036, Test Acc=0.8262
Epoch 14: Train Loss=0.4662, Test Loss=0.4843, Test Acc=0.8389
Epoch 15: Train Loss=0.4489, Test Loss=0.4621, Test Acc=0.8391
Epoch 16: Train Loss=0.4266, Test Loss=0.4676, Test Acc=0.8427
Epoch 17: Train Loss=0.4122, Test Loss=0.4640, Test Acc=0.8429
Epoch 18: Train Loss=0.4012, Test Loss=0.4464, Test Acc=0.8444
Epoch 19: Train Loss=0.3875, Test Loss=0.4462, Test Acc=0.8481
Epoch 20: Train Loss=0.3799, Test Loss=0.4321, Test Acc=0.8508
Epoch 21: Train Loss=0.3722, Test Loss=0.4105, Test Acc=0.8562
Epoch 22: Train Loss=0.3583, Test Loss=0.4151, Test Acc=0.8513
Epoch 23: Train Loss=0.3530, Test Loss=0.4288, Test Acc=0.8533
Epoch 24: Train Loss=0.3476, Test Loss=0.3986, Test Acc=0.8629
Epoch 25: Train Loss=0.3407, Test Loss=0.4059, Test Acc=0.8579
Epoch 26: Train Loss=0.3333, Test Loss=0.4022, Test Acc=0.8629
Epoch 27: Train Loss=0.3265, Test Loss=0.4071, Test Acc=0.8602
Epoch 28: Train Loss=0.3186, Test Loss=0.3933, Test Acc=0.8645
Epoch 29: Train Loss=0.3130, Test Loss=0.3921, Test Acc=0.8659
Epoch 30: Train Loss=0.3076, Test Loss=0.3853, Test Acc=0.8688

총 학습 시간 (초): 246.64
모델 크기 (MB): 1.21
