===== perceiver-io-linstyle 학습 결과 =====

Epoch 1: Train Loss=5.1690, Test Loss=2.2488, Test Acc=0.1643
Epoch 2: Train Loss=2.0363, Test Loss=1.7646, Test Acc=0.3352
Epoch 3: Train Loss=1.6333, Test Loss=1.3824, Test Acc=0.4126
Epoch 4: Train Loss=1.3212, Test Loss=1.2176, Test Acc=0.5037
Epoch 5: Train Loss=1.1306, Test Loss=0.9830, Test Acc=0.6201
Epoch 6: Train Loss=0.9772, Test Loss=0.9518, Test Acc=0.6435
Epoch 7: Train Loss=0.8964, Test Loss=0.8148, Test Acc=0.6899
Epoch 8: Train Loss=0.8201, Test Loss=0.7966, Test Acc=0.7123
Epoch 9: Train Loss=0.7706, Test Loss=0.7488, Test Acc=0.7320
Epoch 10: Train Loss=0.7363, Test Loss=0.7418, Test Acc=0.7369
Epoch 11: Train Loss=0.7130, Test Loss=0.6991, Test Acc=0.7455
Epoch 12: Train Loss=0.6898, Test Loss=0.6574, Test Acc=0.7620
Epoch 13: Train Loss=0.6529, Test Loss=0.6263, Test Acc=0.7778
Epoch 14: Train Loss=0.6211, Test Loss=0.6044, Test Acc=0.7805
Epoch 15: Train Loss=0.5961, Test Loss=0.5962, Test Acc=0.7855
Epoch 16: Train Loss=0.5770, Test Loss=0.5704, Test Acc=0.7911
Epoch 17: Train Loss=0.5649, Test Loss=0.5593, Test Acc=0.8015
Epoch 18: Train Loss=0.5466, Test Loss=0.5328, Test Acc=0.8095
Epoch 19: Train Loss=0.5341, Test Loss=0.5310, Test Acc=0.8081
Epoch 20: Train Loss=0.5184, Test Loss=0.5313, Test Acc=0.8083
Epoch 21: Train Loss=0.5018, Test Loss=0.5143, Test Acc=0.8121
Epoch 22: Train Loss=0.4866, Test Loss=0.4964, Test Acc=0.8230
Epoch 23: Train Loss=0.4703, Test Loss=0.4965, Test Acc=0.8231
Epoch 24: Train Loss=0.4596, Test Loss=0.4810, Test Acc=0.8322
Epoch 25: Train Loss=0.4514, Test Loss=0.4692, Test Acc=0.8367
Epoch 26: Train Loss=0.4432, Test Loss=0.4594, Test Acc=0.8382
Epoch 27: Train Loss=0.4324, Test Loss=0.4654, Test Acc=0.8400
Epoch 28: Train Loss=0.4234, Test Loss=0.4540, Test Acc=0.8384
Epoch 29: Train Loss=0.4179, Test Loss=0.4634, Test Acc=0.8370
Epoch 30: Train Loss=0.4131, Test Loss=0.4432, Test Acc=0.8473

총 학습 시간 (초): 324.90
모델 크기 (MB): 2.16
