===== perceiver-io-linstyle 학습 결과 =====

Epoch 1: Train Loss=5.5218, Test Loss=1.9434, Test Acc=0.2390
Epoch 2: Train Loss=1.8127, Test Loss=1.5233, Test Acc=0.4298
Epoch 3: Train Loss=1.5359, Test Loss=1.2925, Test Acc=0.4905
Epoch 4: Train Loss=1.2807, Test Loss=1.1522, Test Acc=0.5531
Epoch 5: Train Loss=1.1083, Test Loss=1.0001, Test Acc=0.6262
Epoch 6: Train Loss=0.9585, Test Loss=0.8530, Test Acc=0.6851
Epoch 7: Train Loss=0.8595, Test Loss=0.7894, Test Acc=0.7029
Epoch 8: Train Loss=0.8052, Test Loss=0.7467, Test Acc=0.7166
Epoch 9: Train Loss=0.7671, Test Loss=0.7222, Test Acc=0.7316
Epoch 10: Train Loss=0.7265, Test Loss=0.6823, Test Acc=0.7489
Epoch 11: Train Loss=0.6945, Test Loss=0.6464, Test Acc=0.7571
Epoch 12: Train Loss=0.6763, Test Loss=0.6282, Test Acc=0.7698
Epoch 13: Train Loss=0.6477, Test Loss=0.6179, Test Acc=0.7709
Epoch 14: Train Loss=0.6197, Test Loss=0.5832, Test Acc=0.7870
Epoch 15: Train Loss=0.5947, Test Loss=0.5670, Test Acc=0.8012
Epoch 16: Train Loss=0.5716, Test Loss=0.5432, Test Acc=0.8102
Epoch 17: Train Loss=0.5555, Test Loss=0.5512, Test Acc=0.8087
Epoch 18: Train Loss=0.5390, Test Loss=0.5211, Test Acc=0.8172
Epoch 19: Train Loss=0.5183, Test Loss=0.5154, Test Acc=0.8204
Epoch 20: Train Loss=0.5049, Test Loss=0.5146, Test Acc=0.8224
Epoch 21: Train Loss=0.4858, Test Loss=0.4925, Test Acc=0.8302
Epoch 22: Train Loss=0.4760, Test Loss=0.4903, Test Acc=0.8280
Epoch 23: Train Loss=0.4608, Test Loss=0.4736, Test Acc=0.8356
Epoch 24: Train Loss=0.4478, Test Loss=0.4634, Test Acc=0.8395
Epoch 25: Train Loss=0.4395, Test Loss=0.4575, Test Acc=0.8403
Epoch 26: Train Loss=0.4314, Test Loss=0.4527, Test Acc=0.8420
Epoch 27: Train Loss=0.4216, Test Loss=0.4591, Test Acc=0.8410
Epoch 28: Train Loss=0.4109, Test Loss=0.4429, Test Acc=0.8469
Epoch 29: Train Loss=0.4026, Test Loss=0.4582, Test Acc=0.8416
Epoch 30: Train Loss=0.3983, Test Loss=0.4340, Test Acc=0.8510

총 학습 시간 (초): 240.07
모델 크기 (MB): 1.21
