===== perceiver-io-linstyle 학습 결과 =====

Epoch 1: Train Loss=4.6123, Test Loss=1.8498, Test Acc=0.3066
Epoch 2: Train Loss=1.7425, Test Loss=1.4881, Test Acc=0.4406
Epoch 3: Train Loss=1.4320, Test Loss=1.2810, Test Acc=0.5025
Epoch 4: Train Loss=1.3302, Test Loss=1.1998, Test Acc=0.5399
Epoch 5: Train Loss=1.2572, Test Loss=1.1057, Test Acc=0.5824
Epoch 6: Train Loss=1.1191, Test Loss=1.0197, Test Acc=0.6176
Epoch 7: Train Loss=1.0230, Test Loss=0.9074, Test Acc=0.6590
Epoch 8: Train Loss=0.9439, Test Loss=0.8819, Test Acc=0.6755
Epoch 9: Train Loss=0.9089, Test Loss=0.8444, Test Acc=0.6831
Epoch 10: Train Loss=0.8642, Test Loss=0.8224, Test Acc=0.6848
Epoch 11: Train Loss=0.8235, Test Loss=0.7577, Test Acc=0.7180
Epoch 12: Train Loss=0.7949, Test Loss=0.7405, Test Acc=0.7336
Epoch 13: Train Loss=0.7744, Test Loss=0.7201, Test Acc=0.7417
Epoch 14: Train Loss=0.7423, Test Loss=0.6948, Test Acc=0.7503
Epoch 15: Train Loss=0.7332, Test Loss=0.6807, Test Acc=0.7594
Epoch 16: Train Loss=0.7253, Test Loss=0.6849, Test Acc=0.7525
Epoch 17: Train Loss=0.7188, Test Loss=0.6654, Test Acc=0.7567
Epoch 18: Train Loss=0.6890, Test Loss=0.6687, Test Acc=0.7611
Epoch 19: Train Loss=0.6642, Test Loss=0.6331, Test Acc=0.7678
Epoch 20: Train Loss=0.6279, Test Loss=0.5937, Test Acc=0.7864
Epoch 21: Train Loss=0.6049, Test Loss=0.6238, Test Acc=0.7785
Epoch 22: Train Loss=0.5758, Test Loss=0.5638, Test Acc=0.8024
Epoch 23: Train Loss=0.5563, Test Loss=0.5585, Test Acc=0.8036
Epoch 24: Train Loss=0.5420, Test Loss=0.5290, Test Acc=0.8109
Epoch 25: Train Loss=0.5237, Test Loss=0.5454, Test Acc=0.8111
Epoch 26: Train Loss=0.5096, Test Loss=0.5064, Test Acc=0.8234
Epoch 27: Train Loss=0.4967, Test Loss=0.5070, Test Acc=0.8191
Epoch 28: Train Loss=0.4852, Test Loss=0.5087, Test Acc=0.8289
Epoch 29: Train Loss=0.4724, Test Loss=0.4920, Test Acc=0.8327
Epoch 30: Train Loss=0.4574, Test Loss=0.4761, Test Acc=0.8322

총 학습 시간 (초): 248.21
모델 크기 (MB): 1.21
