===== perceiver-io-linstyle 학습 결과 =====

Epoch 1: Train Loss=6.8791, Test Loss=1.9972, Test Acc=0.2489
Epoch 2: Train Loss=2.0495, Test Loss=1.7687, Test Acc=0.2796
Epoch 3: Train Loss=1.6193, Test Loss=1.2869, Test Acc=0.4604
Epoch 4: Train Loss=1.2684, Test Loss=1.1437, Test Acc=0.5300
Epoch 5: Train Loss=1.1783, Test Loss=1.0642, Test Acc=0.5637
Epoch 6: Train Loss=1.0789, Test Loss=1.0157, Test Acc=0.5922
Epoch 7: Train Loss=0.9861, Test Loss=0.9201, Test Acc=0.6471
Epoch 8: Train Loss=0.9365, Test Loss=0.8936, Test Acc=0.6625
Epoch 9: Train Loss=0.9188, Test Loss=0.8599, Test Acc=0.6726
Epoch 10: Train Loss=0.8811, Test Loss=0.7982, Test Acc=0.6944
Epoch 11: Train Loss=0.8219, Test Loss=0.7894, Test Acc=0.7099
Epoch 12: Train Loss=0.7923, Test Loss=0.7521, Test Acc=0.7184
Epoch 13: Train Loss=0.7615, Test Loss=0.7143, Test Acc=0.7365
Epoch 14: Train Loss=0.7264, Test Loss=0.6948, Test Acc=0.7388
Epoch 15: Train Loss=0.7080, Test Loss=0.6694, Test Acc=0.7511
Epoch 16: Train Loss=0.7049, Test Loss=0.6662, Test Acc=0.7402
Epoch 17: Train Loss=0.6719, Test Loss=0.6458, Test Acc=0.7545
Epoch 18: Train Loss=0.6588, Test Loss=0.6232, Test Acc=0.7639
Epoch 19: Train Loss=0.6454, Test Loss=0.6673, Test Acc=0.7533
Epoch 20: Train Loss=0.6303, Test Loss=0.6086, Test Acc=0.7725
Epoch 21: Train Loss=0.6123, Test Loss=0.5939, Test Acc=0.7812
Epoch 22: Train Loss=0.6083, Test Loss=0.6011, Test Acc=0.7756
Epoch 23: Train Loss=0.5934, Test Loss=0.5854, Test Acc=0.7866
Epoch 24: Train Loss=0.5843, Test Loss=0.5710, Test Acc=0.7898
Epoch 25: Train Loss=0.5717, Test Loss=0.5522, Test Acc=0.7998
Epoch 26: Train Loss=0.5596, Test Loss=0.5569, Test Acc=0.7994
Epoch 27: Train Loss=0.5400, Test Loss=0.5324, Test Acc=0.8100
Epoch 28: Train Loss=0.5281, Test Loss=0.5175, Test Acc=0.8134
Epoch 29: Train Loss=0.5147, Test Loss=0.5319, Test Acc=0.8078
Epoch 30: Train Loss=0.5036, Test Loss=0.5143, Test Acc=0.8174

총 학습 시간 (초): 245.22
모델 크기 (MB): 1.21
