===== perceiver-io-linstyle 학습 결과 =====

Epoch 1: Train Loss=5.4287, Test Loss=2.1199, Test Acc=0.2022
Epoch 2: Train Loss=1.9202, Test Loss=1.4891, Test Acc=0.3938
Epoch 3: Train Loss=1.4162, Test Loss=1.2033, Test Acc=0.5112
Epoch 4: Train Loss=1.1904, Test Loss=1.0526, Test Acc=0.5781
Epoch 5: Train Loss=1.0644, Test Loss=0.9719, Test Acc=0.6348
Epoch 6: Train Loss=0.9609, Test Loss=0.8644, Test Acc=0.6574
Epoch 7: Train Loss=0.8660, Test Loss=0.8140, Test Acc=0.6821
Epoch 8: Train Loss=0.7866, Test Loss=0.7278, Test Acc=0.7101
Epoch 9: Train Loss=0.7152, Test Loss=0.6951, Test Acc=0.7368
Epoch 10: Train Loss=0.6606, Test Loss=0.6226, Test Acc=0.7713
Epoch 11: Train Loss=0.5997, Test Loss=0.5694, Test Acc=0.7962
Epoch 12: Train Loss=0.5603, Test Loss=0.5829, Test Acc=0.8034
Epoch 13: Train Loss=0.5303, Test Loss=0.5373, Test Acc=0.8180
Epoch 14: Train Loss=0.5047, Test Loss=0.5120, Test Acc=0.8274
Epoch 15: Train Loss=0.4873, Test Loss=0.5077, Test Acc=0.8277
Epoch 16: Train Loss=0.4672, Test Loss=0.4916, Test Acc=0.8293
Epoch 17: Train Loss=0.4508, Test Loss=0.4797, Test Acc=0.8286
Epoch 18: Train Loss=0.4364, Test Loss=0.4710, Test Acc=0.8366
Epoch 19: Train Loss=0.4223, Test Loss=0.4503, Test Acc=0.8420
Epoch 20: Train Loss=0.4120, Test Loss=0.4713, Test Acc=0.8355
Epoch 21: Train Loss=0.3970, Test Loss=0.4322, Test Acc=0.8524
Epoch 22: Train Loss=0.3904, Test Loss=0.4227, Test Acc=0.8534
Epoch 23: Train Loss=0.3812, Test Loss=0.4556, Test Acc=0.8481
Epoch 24: Train Loss=0.3694, Test Loss=0.4515, Test Acc=0.8490
Epoch 25: Train Loss=0.3652, Test Loss=0.4303, Test Acc=0.8504
Epoch 26: Train Loss=0.3589, Test Loss=0.4207, Test Acc=0.8604
Epoch 27: Train Loss=0.3501, Test Loss=0.4131, Test Acc=0.8559
Epoch 28: Train Loss=0.3448, Test Loss=0.4220, Test Acc=0.8596
Epoch 29: Train Loss=0.3409, Test Loss=0.3953, Test Acc=0.8595
Epoch 30: Train Loss=0.3342, Test Loss=0.4225, Test Acc=0.8581

총 학습 시간 (초): 309.29
모델 크기 (MB): 2.16
