===== perceiver-io-linstyle 학습 결과 =====

Epoch 1: Train Loss=6.6368, Test Loss=2.0378, Test Acc=0.2404
Epoch 2: Train Loss=1.8637, Test Loss=1.6522, Test Acc=0.3627
Epoch 3: Train Loss=1.6162, Test Loss=1.4449, Test Acc=0.4448
Epoch 4: Train Loss=1.4057, Test Loss=1.2850, Test Acc=0.5342
Epoch 5: Train Loss=1.3187, Test Loss=1.1376, Test Acc=0.5726
Epoch 6: Train Loss=1.1626, Test Loss=1.0432, Test Acc=0.6245
Epoch 7: Train Loss=1.0185, Test Loss=0.9574, Test Acc=0.6332
Epoch 8: Train Loss=0.9496, Test Loss=0.8525, Test Acc=0.6747
Epoch 9: Train Loss=0.8869, Test Loss=0.8091, Test Acc=0.6996
Epoch 10: Train Loss=0.8288, Test Loss=0.7554, Test Acc=0.7237
Epoch 11: Train Loss=0.7788, Test Loss=0.7200, Test Acc=0.7351
Epoch 12: Train Loss=0.7286, Test Loss=0.6758, Test Acc=0.7504
Epoch 13: Train Loss=0.6867, Test Loss=0.6604, Test Acc=0.7569
Epoch 14: Train Loss=0.6582, Test Loss=0.6291, Test Acc=0.7713
Epoch 15: Train Loss=0.6292, Test Loss=0.6220, Test Acc=0.7688
Epoch 16: Train Loss=0.6062, Test Loss=0.5916, Test Acc=0.7816
Epoch 17: Train Loss=0.5811, Test Loss=0.6093, Test Acc=0.7823
Epoch 18: Train Loss=0.5674, Test Loss=0.5646, Test Acc=0.7901
Epoch 19: Train Loss=0.5480, Test Loss=0.5353, Test Acc=0.8063
Epoch 20: Train Loss=0.5313, Test Loss=0.5453, Test Acc=0.8037
Epoch 21: Train Loss=0.5179, Test Loss=0.5398, Test Acc=0.8057
Epoch 22: Train Loss=0.5067, Test Loss=0.5224, Test Acc=0.8115
Epoch 23: Train Loss=0.4966, Test Loss=0.5228, Test Acc=0.8141
Epoch 24: Train Loss=0.4894, Test Loss=0.5059, Test Acc=0.8167
Epoch 25: Train Loss=0.4814, Test Loss=0.5074, Test Acc=0.8234
Epoch 26: Train Loss=0.4737, Test Loss=0.4953, Test Acc=0.8249
Epoch 27: Train Loss=0.4661, Test Loss=0.4930, Test Acc=0.8248
Epoch 28: Train Loss=0.4585, Test Loss=0.4831, Test Acc=0.8273
Epoch 29: Train Loss=0.4488, Test Loss=0.4965, Test Acc=0.8257
Epoch 30: Train Loss=0.4430, Test Loss=0.4660, Test Acc=0.8363

총 학습 시간 (초): 307.61
모델 크기 (MB): 2.16
